Date,Open,High,Low,Close,Volume,S_High,S_Low,Signal,Price,Price_exit
2019-01-01 09:15:00+05:30,27231.4,27236.45,27035.7,27070.7,0,,,0,0.0,0.0
2019-01-01 10:15:00+05:30,27071.0,27116.5,27057.45,27112.7,0,27112.7,,0,0.0,0.0
2019-01-01 11:15:00+05:30,27111.75,27122.85,27080.65,27111.9,0,,,0,0.0,0.0
2019-01-01 12:15:00+05:30,27114.4,27121.1,27054.75,27093.15,0,,,0,0.0,0.0
2019-01-01 13:15:00+05:30,27093.45,27100.35,27021.55,27080.65,0,,27080.65,0,0.0,0.0
2019-01-01 14:15:00+05:30,27081.05,27395.1,27076.6,27386.8,0,,,0,0.0,0.0
2019-01-01 15:15:00+05:30,27385.0,27428.85,27380.0,27411.15,0,27411.15,,0,0.0,0.0
2019-01-02 09:15:00+05:30,27297.0,27361.05,27208.55,27321.8,0,,27321.8,0,0.0,0.0
2019-01-02 10:15:00+05:30,27322.85,27396.6,27315.4,27355.4,0,,,0,0.0,0.0
2019-01-02 11:15:00+05:30,27355.35,27391.3,27333.6,27384.1,0,27384.1,,0,0.0,0.0
2019-01-02 12:15:00+05:30,27386.85,27386.85,27158.1,27210.4,0,,,0,0.0,0.0
2019-01-02 13:15:00+05:30,27210.9,27224.65,27077.85,27133.2,0,,27133.2,0,0.0,0.0
2019-01-02 14:15:00+05:30,27132.65,27226.4,27087.3,27156.9,0,27156.9,,0,0.0,0.0
2019-01-02 15:15:00+05:30,27157.15,27165.2,27129.6,27155.85,0,,27155.85,0,0.0,0.0
2019-01-03 09:15:00+05:30,27181.6,27187.8,27052.1,27158.95,0,27158.95,,0,0.0,0.0
2019-01-03 10:15:00+05:30,27160.85,27175.9,27047.05,27102.75,0,,,0,0.0,0.0
2019-01-03 11:15:00+05:30,27102.25,27103.4,26985.85,27021.6,0,,27021.6,0,0.0,0.0
2019-01-03 12:15:00+05:30,27020.1,27087.8,26977.75,27062.3,0,27062.3,,0,0.0,0.0
2019-01-03 13:15:00+05:30,27062.95,27092.0,26941.25,26973.7,0,,,0,0.0,0.0
2019-01-03 14:15:00+05:30,26972.65,27023.05,26947.95,26959.3,0,,,0,0.0,0.0
2019-01-03 15:15:00+05:30,26962.45,26969.25,26923.75,26930.55,0,,26930.55,0,0.0,0.0
2019-01-04 09:15:00+05:30,26999.7,27085.1,26927.1,26979.8,0,,,0,0.0,0.0
2019-01-04 10:15:00+05:30,26977.25,27126.2,26926.9,27068.95,0,,,0,0.0,0.0
2019-01-04 11:15:00+05:30,27069.2,27158.0,27064.4,27126.5,0,,,0,0.0,0.0
2019-01-04 12:15:00+05:30,27126.2,27271.85,27110.8,27243.05,0,27243.05,,0,0.0,0.0
2019-01-04 13:15:00+05:30,27243.05,27274.05,27087.3,27090.5,0,,27090.5,0,0.0,0.0
2019-01-04 14:15:00+05:30,27093.55,27224.15,27059.25,27189.2,0,,,0,0.0,0.0
2019-01-04 15:15:00+05:30,27189.0,27214.65,27179.95,27202.55,0,,,0,0.0,0.0
2019-01-07 09:15:00+05:30,27378.65,27460.5,27369.5,27449.55,0,27449.55,,0,0.0,0.0
2019-01-07 10:15:00+05:30,27448.0,27476.8,27418.6,27436.15,0,,,0,0.0,0.0
2019-01-07 11:15:00+05:30,27434.4,27465.75,27384.5,27427.35,0,,27427.35,0,0.0,0.0
2019-01-07 12:15:00+05:30,27426.65,27452.8,27405.65,27436.6,0,,,0,0.0,0.0
2019-01-07 13:15:00+05:30,27437.6,27463.0,27369.45,27443.75,0,27443.75,,0,0.0,0.0
2019-01-07 14:15:00+05:30,27445.95,27448.9,27282.85,27305.85,0,,,0,0.0,0.0
2019-01-07 15:15:00+05:30,27305.75,27323.5,27282.35,27296.85,0,,27296.85,0,0.0,0.0
2019-01-08 09:15:00+05:30,27301.9,27342.6,27165.15,27306.55,0,27306.55,,0,0.0,0.0
2019-01-08 10:15:00+05:30,27306.15,27342.5,27254.7,27280.45,0,,27280.45,0,0.0,0.0
2019-01-08 11:15:00+05:30,27280.65,27313.0,27227.15,27306.65,0,,,0,0.0,0.0
2019-01-08 12:15:00+05:30,27307.65,27353.95,27274.55,27319.85,0,,,0,0.0,0.0
2019-01-08 13:15:00+05:30,27320.45,27473.95,27286.85,27455.5,0,,,0,0.0,0.0
